exercise,video_name,url
deadlift,deadlift_017-7.mp4,https://drive.google.com/file/d/1rlUmsVqACwkLoPU-kaac_HLSZTPV25R_/preview
deadlift,deadlift_023-4.mp4,https://drive.google.com/file/d/1adwjIDMsKMuJC814TLBb5sr26YaoQNPU/preview
deadlift,deadlift_018-8.mp4,https://drive.google.com/file/d/151gW_2JZSfKravTeafGKjbjY7QDN3E1n/preview
deadlift,deadlift_021-6.mp4,https://drive.google.com/file/d/14oVsQKyrSDvXXpSgtK-qKgrTSLFicLxW/preview
deadlift,deadlift_024-4.mp4,https://drive.google.com/file/d/13axwzEA-F6oBTRtz25Dn5qgekPUC8QI-/preview
deadlift,deadlift_011-2.mp4,https://drive.google.com/file/d/1xAJV1mSvUqHYaFAizcBrMlojXiyE6sLJ/preview
deadlift,deadlift_009-8.mp4,https://drive.google.com/file/d/1Csr6EgbqzZWpjdZv5UpgerrCUYbuFABL/preview
deadlift,deadlift_007-8.mp4,https://drive.google.com/file/d/1gzQS-oukOTZIEKeEltKwOlQ7aSTMlwB1/preview
deadlift,deadlift_010-11.mp4,https://drive.google.com/file/d/1Bk3vuupU_2Oto-sPKXiQkRa7HisXo7Ub/preview
deadlift,deadlift_019-3.mp4,https://drive.google.com/file/d/1u_wJ-euubExVroE8LYeYY6WQK0KZ0vyJ/preview
deadlift,deadlift_003-8.mp4,https://drive.google.com/file/d/1If6JOHbZyHLZeM3CEcqV2rKq3qNCI_zh/preview
deadlift,deadlift_022-3.mp4,https://drive.google.com/file/d/1iM6Q-bPgMEwyEnZDJ6Rr_K1fDZJsh7Ym/preview
deadlift,deadlift_018-7.mp4,https://drive.google.com/file/d/1v8JxrxUwr1Ig13cVC9ljIOykBhBAwi97/preview
deadlift,deadlift_020-3.mp4,https://drive.google.com/file/d/1AjrefqWDIaXrI_YS6Tj6LlXMV5-pi4ib/preview
deadlift,deadlift_015-09.mp4,https://drive.google.com/file/d/1OogTFM09XtiH7-Wb3bEyOiK-px7PesYl/preview
deadlift,deadlift_012-6.mp4,https://drive.google.com/file/d/1mtKRD_FacYKou1zU1GpScdDT6kSvnYnV/preview
deadlift,deadlift_021-5.mp4,https://drive.google.com/file/d/1KQDuc-NS4vf7sLGONCw3ebMMmP1VajdQ/preview
deadlift,deadlift_017-6.mp4,https://drive.google.com/file/d/1BzaSHAV6vH5O2svBzlmdPLqtE2qHsEf1/preview
deadlift,deadlift_016-6.mp4,https://drive.google.com/file/d/16X26w5i6KVydrtBfownAhQN6iGsLD1xJ/preview
deadlift,deadlift_023-3.mp4,https://drive.google.com/file/d/1W9008l9X1Cf9Y_Gy9FdUBb-molMBVDuA/preview
deadlift,deadlift_019-2.mp4,https://drive.google.com/file/d/1nTQF0ZjFdXrTNrjlXbQF6GhGTd_qwxBR/preview
deadlift,deadlift_024-3.mp4,https://drive.google.com/file/d/1XT2sEK8PBc3_TsYhY3WWyKJWNSarb_bE/preview
deadlift,deadlift_010-10.mp4,https://drive.google.com/file/d/1zoJqOhAyH6VsIDpyugWMiVfdYTy6LfvO/preview
deadlift,deadlift_006-10.mp4,https://drive.google.com/file/d/1SB-Dt0sDYzbdxc5pBEnnYTys3nBeOWP3/preview
deadlift,deadlift_018-6.mp4,https://drive.google.com/file/d/1609vIMoTst7nGClzbonAXTXJd_yWYGS9/preview
deadlift,deadlift_004-8.mp4,https://drive.google.com/file/d/1y7kR8G7DI7oe_V4rDE5VziFihQhzWCai/preview
deadlift,deadlift_011-1.mp4,https://drive.google.com/file/d/17419V9e8uKz4NtxNDmi4PHkLk7hMCjta/preview
deadlift,deadlift_013-8.mp4,https://drive.google.com/file/d/1nbqLG3lcTu_cTrwD_UrCzh1f8vebyrUT/preview
deadlift,deadlift_015-08.mp4,https://drive.google.com/file/d/1dpSTrmaRdBo_gyHGW5-FhtwG5-IsjeN5/preview
deadlift,deadlift_021-4.mp4,https://drive.google.com/file/d/1qswwp3eEJJzd1LnzK-JbPoFNj66YuS1B/preview
deadlift,deadlift_003-7.mp4,https://drive.google.com/file/d/19cEi-eMyawpuS1AiZVgHr05HDyISTIgK/preview
deadlift,deadlift_009-7.mp4,https://drive.google.com/file/d/1EPvb0jj-AIpyYl921FSrh5MGej-o_xRM/preview
deadlift,deadlift_020-2.mp4,https://drive.google.com/file/d/1copu_CWjNvXVw3LOjk-P6SfMcf0i8nj0/preview
deadlift,deadlift_005-7.mp4,https://drive.google.com/file/d/1EEp-_svXtLxmS86J3u-SSCS6IFQhAkF0/preview
deadlift,deadlift_002-8.mp4,https://drive.google.com/file/d/1yVr3BhjI6wPW2qZNa8yCQP5x6ikzJ7qM/preview
deadlift,deadlift_022-2.mp4,https://drive.google.com/file/d/18EQINzmPp9BUP0WWvv8k2BjBrs5ijo6a/preview
deadlift,deadlift_007-7.mp4,https://drive.google.com/file/d/1QAGyuPLE-QtSoVxjzozhL9BhgVpQfiiK/preview
deadlift,deadlift_021-3.mp4,https://drive.google.com/file/d/1dPA-oddeB0BzYZW3QSGYMKxtDY3tt2o3/preview
deadlift,deadlift_016-5.mp4,https://drive.google.com/file/d/1tcPenxJY9_Wk4wE7-bxNxDBw2PeANtYs/preview
deadlift,deadlift_018-5.mp4,https://drive.google.com/file/d/1_6BAiypKID5IlhiPkJqeKKTelXd8cXbf/preview
deadlift,deadlift_008-7.mp4,https://drive.google.com/file/d/1ZdU44a92BIdkdmOjZNyTp_MbC7qUU9oB/preview
deadlift,deadlift_015-07.mp4,https://drive.google.com/file/d/1sVIzxNnPlaPF1w2O5RDeSBTBfkPb-W0H/preview
deadlift,deadlift_017-5.mp4,https://drive.google.com/file/d/1vS3bJXX4xNRNclC8SJGSdGDT1_GYx0Sj/preview
deadlift,deadlift_023-2.mp4,https://drive.google.com/file/d/1ZC6TVYtGctNiJGzjwqTRxlKwDyUyS-C4/preview
deadlift,deadlift_010-09.mp4,https://drive.google.com/file/d/1YsO7DrZO63EiIAwvsXh14LUUKh3wRpiU/preview
deadlift,deadlift_024-2.mp4,https://drive.google.com/file/d/1BxURano2RVDETmnaatwLJRUmOcqD_qsY/preview
deadlift,deadlift_006-09.mp4,https://drive.google.com/file/d/1c1rLucMZJppjirP1hj-YNg5wmGKt6jAk/preview
deadlift,deadlift_013-7.mp4,https://drive.google.com/file/d/1tMOX7TzTHd7FxCornCW710FxGjWBXbO3/preview
deadlift,deadlift_012-5.mp4,https://drive.google.com/file/d/1Edk0kGW9vIGRmbYf9-7LFE3QCjQliyWh/preview
deadlift,deadlift_009-6.mp4,https://drive.google.com/file/d/1cu9GWQtqt62bnx8cmPtYJY64NmxHApMr/preview
deadlift,deadlift_018-4.mp4,https://drive.google.com/file/d/1btJG8hdZA6dTJQ5hGgfd5tAab7XdVDoq/preview
deadlift,deadlift_004-7.mp4,https://drive.google.com/file/d/1BS63-gLbKRqt_sR_4798QWN2ked7amdN/preview
deadlift,deadlift_002-7.mp4,https://drive.google.com/file/d/1lkcaWEAVX0GtPCdVc5N3BMgaaahX21I6/preview
deadlift,deadlift_015-06.mp4,https://drive.google.com/file/d/1uCNBEwidODJNCxWuiRmO6t5IKl9ufcAb/preview
deadlift,deadlift_007-6.mp4,https://drive.google.com/file/d/1lpXkOgkdz8WCikpkUlgy8JDvxJmtRlev/preview
deadlift,deadlift_017-4.mp4,https://drive.google.com/file/d/1QCKBE-vUnEtgpSBK9BIEGYox7_aiPPeG/preview
deadlift,deadlift_010-08.mp4,https://drive.google.com/file/d/1BTx76eGsPTAOhdVO16CzoDOR5-pRJ43Y/preview
deadlift,deadlift_025-1.mp4,https://drive.google.com/file/d/1ODhdXNeOeeCnkyHaXQroDxFtXABYNdYO/preview
deadlift,deadlift_021-2.mp4,https://drive.google.com/file/d/1D57kP7jvNxOKDZxPpyDvLVfJuVv2pIaW/preview
deadlift,deadlift_003-6.mp4,https://drive.google.com/file/d/1pnDVe95fWyZmizjMAE7F1kqEj0wOobKR/preview
deadlift,deadlift_013-6.mp4,https://drive.google.com/file/d/1MJcisss1PyR0DSBctyv5Y6Yh73FU0JvH/preview
deadlift,deadlift_016-4.mp4,https://drive.google.com/file/d/1B-i0DIC-RNUxaa92bOvLvS9Dmp4CyhKP/preview
deadlift,deadlift_005-6.mp4,https://drive.google.com/file/d/1R476c26pdSea5BS-b63yM8tOpEXFA22t/preview
deadlift,deadlift_018-3.mp4,https://drive.google.com/file/d/1BAbYfej0XZ25QOKfhGvrcTD4oQdBN907/preview
deadlift,deadlift_006-08.mp4,https://drive.google.com/file/d/1uQB5HzyUkl6nRB0buwa6zn7Z6JWJ9JXC/preview
deadlift,deadlift_026-1.mp4,https://drive.google.com/file/d/1M3xBGENLxgYEixg3YN7QjSJH9tG_hHvT/preview
deadlift,deadlift_008-6.mp4,https://drive.google.com/file/d/1kGTeukCwgUVFkcup3xrrDICBgvuAUUVO/preview
deadlift,deadlift_009-5.mp4,https://drive.google.com/file/d/1UJDSmRtjv00anJvBueDGiT3cNEojx9B4/preview
deadlift,deadlift_015-05.mp4,https://drive.google.com/file/d/1tnOMQg00sewEbYkxoPZAgx2G6xTMspAX/preview
deadlift,deadlift_017-3.mp4,https://drive.google.com/file/d/1cbWDKB7JSslrKLTTTyYAA6D7vezM41E2/preview
deadlift,deadlift_013-5.mp4,https://drive.google.com/file/d/1jzv8Jnp5Z9gYHd-yD3NXZQCMpUDNOWcC/preview
deadlift,deadlift_012-4.mp4,https://drive.google.com/file/d/1DTsqbC0WWUswRxFGzV8xNC6Jp-OHsqEd/preview
deadlift,deadlift_010-07.mp4,https://drive.google.com/file/d/1pw_bYJItGrubPPjFPHFQ-rn-se0XOlEx/preview
deadlift,deadlift_016-3.mp4,https://drive.google.com/file/d/1mGOWdq8_0HpAcWKn_9Iv-ZtqXWRLSnwV/preview
deadlift,deadlift_003-5.mp4,https://drive.google.com/file/d/1uvRv8IiIlsp2Hyz2Psog35AUmndUJeBp/preview
deadlift,deadlift_004-6.mp4,https://drive.google.com/file/d/1qMKU2-D-GuT-FKXpi6eef_OAqj3YYZSJ/preview
deadlift,deadlift_007-5.mp4,https://drive.google.com/file/d/1pjKZHVuIjF8zhCVSHrU7mS6R8pfLeZJM/preview
deadlift,deadlift_005-5.mp4,https://drive.google.com/file/d/1-_NAmnMvq2K5U3rXyun7BQYVnhbMi2Y8/preview
deadlift,deadlift_024-1.mp4,https://drive.google.com/file/d/1hXxDIGMANZlpieoT2R6YJvm3ydgYyJcA/preview
deadlift,deadlift_023-1.mp4,https://drive.google.com/file/d/10wXX2IWVjg0t-6vrb8mUsjn0o3wrkEZ4/preview
deadlift,deadlift_006-07.mp4,https://drive.google.com/file/d/18JxIZAEWenE49RN07K9cDVa5ZsD-K_UV/preview
deadlift,deadlift_015-04.mp4,https://drive.google.com/file/d/1m4cnW8ukCkEQZdj-W8KtT8kuVqlJKEIU/preview
deadlift,deadlift_002-6.mp4,https://drive.google.com/file/d/1MPdXWkdKpHvcWtbHFJUsOgeXNsj3r4vN/preview
deadlift,deadlift_008-5.mp4,https://drive.google.com/file/d/1WZsRv0WsVNCSHho3hzvNjcrLBoYPzwwH/preview
deadlift,deadlift_010-06.mp4,https://drive.google.com/file/d/1NP3q9e0bLQrLjGdRcnl_kfxaQEMz5RB_/preview
deadlift,deadlift_009-4.mp4,https://drive.google.com/file/d/1X-qNdwsjtlpFxm2xC1RZRg8KQ_uWuUhw/preview
deadlift,deadlift_021-1.mp4,https://drive.google.com/file/d/10G3xArZ1DOas0JlcW1-XIG3rCIkF6UhL/preview
deadlift,deadlift_022-1.mp4,https://drive.google.com/file/d/1mprnTRJQAkNbyRk5gWIaEBwZZycqOFZ2/preview
deadlift,deadlift_013-4.mp4,https://drive.google.com/file/d/1O1mf8GQXl3dJWfZqEdC0qDpbMjddPOhK/preview
deadlift,deadlift_017-2.mp4,https://drive.google.com/file/d/1cspVK4H9Owp5fv68etAeAnGnwEGDgNWB/preview
deadlift,deadlift_015-03.mp4,https://drive.google.com/file/d/1LkXYpeTJZW0f3GN7EyNJ1vY4ZnTxX75h/preview
deadlift,deadlift_006-06.mp4,https://drive.google.com/file/d/1jbMnr7oV-qtaM5juRrMBkEMFAKHM84b0/preview
deadlift,deadlift_004-5.mp4,https://drive.google.com/file/d/1Y_9qTBw1i7KoVCJbCc2G6pe4ey3FzE41/preview
deadlift,deadlift_018-2.mp4,https://drive.google.com/file/d/1b_p8tJW6NvKGGmBXnBtowhTnF-WC6gkZ/preview
deadlift,deadlift_016-2.mp4,https://drive.google.com/file/d/1HaY5zixMCvT809nb2K5JXdr9Fs59bgSW/preview
deadlift,deadlift_012-3.mp4,https://drive.google.com/file/d/14SBzRCD_ypfZD-wNpyA-BpsyZ_gMoGUI/preview
deadlift,deadlift_002-5.mp4,https://drive.google.com/file/d/1glb3GGIPmJGxGMa0y_ftLe9bzMxTdMA8/preview
deadlift,deadlift_005-4.mp4,https://drive.google.com/file/d/1hsOMzgaTb_s9SQPDVFKyoJ24hN8qpMKQ/preview
deadlift,deadlift_009-3.mp4,https://drive.google.com/file/d/1NiNEUWEEKQ68fz1lDtlrh2CLyCjS--BN/preview
deadlift,deadlift_013-3.mp4,https://drive.google.com/file/d/1UyI0jZcmb7QqsOIGUoZlDO28-hEWH9oD/preview
deadlift,deadlift_003-4.mp4,https://drive.google.com/file/d/1ocFDKxxDG8D5uwMyR_JRGY-8cPoB53b3/preview
deadlift,deadlift_010-05.mp4,https://drive.google.com/file/d/1NWyn2x5jylf3qV073_pMFtMoN14A5DRw/preview
deadlift,deadlift_015-02.mp4,https://drive.google.com/file/d/14smYoEgUbaMywzp9XlLSsqub_pLMeV5t/preview
deadlift,deadlift_020-1.mp4,https://drive.google.com/file/d/1N2I2SrJLSzFRzGHWWuJdk3tGgDemkovI/preview
deadlift,deadlift_007-4.mp4,https://drive.google.com/file/d/1Om629RBiWYmFf844tOpIcyo6DoPms261/preview
deadlift,deadlift_001-7.mp4,https://drive.google.com/file/d/1_Bwgem-Foka6FhSNT8rCZb-rEYEPaCUf/preview
deadlift,deadlift_004-4.mp4,https://drive.google.com/file/d/1tRkXdkxLueKBJeC3OSg8PnK-cqCVbAGR/preview
deadlift,deadlift_006-05.mp4,https://drive.google.com/file/d/1T1D8l7KOrBM9sZiE1SlAxhN_-VYAhuQG/preview
deadlift,deadlift_008-4.mp4,https://drive.google.com/file/d/1f5fqvM2J5pYijJLeYBsjnifNz7op4Vf4/preview
deadlift,deadlift_019-1.mp4,https://drive.google.com/file/d/1FZz3GzlpsWNHfl_WGb7Ek3raszZKAQ7d/preview
